Data,Cidade, Condicao_do_Tempo_Prevista,Temperatura_Tendencia,Temperatura_Minima,Temperatura_Maxima,Vento_Velocidade_Minima,Vento_Velocidade_Maxima,Vento_Direcao,Vento_Intensidade
26/09/2025,Abaetetuba - PA,Parcialmente nublado,Estavel,23,35,46,91,NE,Fracos
27/09/2025,Abaetetuba - PA,Parcialmente nublado a poucas nuvens,Estavel,23,35,47,91,NE,Fracos
28/09/2025,Abaetetuba - PA,Claro a poucas nuvens,Estavel,24,35,46,87,NE,Fracos
29/09/2025,Abaetetuba - PA,Claro a parcialmente nublado com possibilidade de chuva em areas isoladas a tarde,Estavel,24,35,45,88,NE,Fracos
26/09/2025,Abel Figueiredo - PA,Poucas nuvens a parcialmente nublado,Estavel,24,33,55,92,NE,Fracos
27/09/2025,Abel Figueiredo - PA,Poucas nuvens a parcialmente nublado,Estavel,24,33,55,92,NE,Fracos
28/09/2025,Abel Figueiredo - PA,Parcialmente nublado a poucas nuvens,Estavel,24,34,47,94,NE,Fracos
29/09/2025,Abel Figueiredo - PA,Poucas nuvens,Estavel,24,34,46,92,NE,Fracos
26/09/2025,Acara - PA,Parcialmente nublado,Estavel,23,35,46,91,NE,Fracos
27/09/2025,Acara - PA,Parcialmente nublado a poucas nuvens,Estavel,23,35,47,91,NE,Fracos
28/09/2025,Acara - PA,Claro a poucas nuvens,Estavel,24,35,46,87,NE,Fracos
29/09/2025,Acara - PA,Claro a parcialmente nublado com possibilidade de chuva em areas isoladas a tarde,Estavel,24,35,45,88,NE,Fracos
26/09/2025,Acrelandia - AC,Parcialmente nublado com pancadas de chuva e trovoadas,Estavel,22,32,43,81,N - NW,Fracos
27/09/2025,Acrelandia - AC,Parcialmente nublado com possibilidade de chuva em areas isoladas,Estavel,23,30,42,93,NE - SW,Fracos
28/09/2025,Acrelandia - AC,Claro a parcialmente nublado com pancadas de chuva e trovoadas isoladas,Estavel,24,32,29,72,N - NW,Fracos
29/09/2025,Acrelandia - AC,Parcialmente nublado com possibilidade de chuva em areas isoladas,Estavel,23,31,34,87,N - SE,Fracos
26/09/2025,Afua - PA,Poucas nuvens a parcialmente nublado,Estavel,26,30,68,84,NE,Fracos
27/09/2025,Afua - PA,Poucas nuvens a claro,Estavel,26,30,68,84,NE,Fracos
28/09/2025,Afua - PA,Poucas nuvens,Estavel,26,30,68,83,NE,Fracos
29/09/2025,Afua - PA,Poucas nuvens a nublado com possibilidade de chuva em areas isoladas a tarde,Estavel,26,30,67,84,NE,Fracos
26/09/2025,Agua Azul do Norte - PA,Parcialmente nublado a nublado com possibilidade de chuva em areas isoladas a tarde,Estavel,23,32,56,91,NE,Fracos
27/09/2025,Agua Azul do Norte - PA,Parcialmente nublado a nublado com chuva em areas isoladas a tarde,Estavel,23,32,54,92,NE,Fracos
28/09/2025,Agua Azul do Norte - PA,Poucas nuvens a parcialmente nublado com possibilidade de chuva em areas isoladas a tarde,Estavel,23,33,51,94,NE,Fracos
29/09/2025,Agua Azul do Norte - PA,Poucas nuvens a parcialmente nublado com possibilidade de chuva em areas isoladas a tarde,Estavel,23,34,44,92,NE,Fracos
26/09/2025,Alenquer - PA,Nublado a poucas nuvens com possibilidade de chuva em areas isoladas na madrugada,Estavel,25,34,52,88,NE,Fracos
27/09/2025,Alenquer - PA,Nublado a poucas nuvens com possibilidade de chuva pela manha,Estavel,25,33,59,88,NE,Fracos
28/09/2025,Alenquer - PA,Parcialmente nublado a poucas nuvens,Estavel,26,33,58,89,NE,Fracos
29/09/2025,Alenquer - PA,Parcialmente nublado a poucas nuvens,Estavel,26,33,55,87,NE,Fracos
