Time,Anomaly (deg C),t2m
1970-01,0.608489990234375,299.58936
1970-02,0.46771240234375,299.19946
1970-03,-0.03521728515625,298.78125
1970-04,0.08331298828125,299.16895
1970-05,-0.004974365234375,299.3584
1970-06,-0.29833984375,299.18164
1970-07,-0.215057373046875,299.19287
1970-08,-0.281219482421875,299.59668
1970-09,-0.53106689453125,299.6394
1970-10,-0.14129638671875,300.38574
1970-11,-0.436248779296875,300.11987
1970-12,0.006072998046875,299.9248
1971-01,-0.265533447265625,298.71533
1971-02,-0.51055908203125,298.2212
1971-03,-0.61285400390625,298.2036
1971-04,-0.64276123046875,298.44287
1971-05,-0.865814208984375,298.49756
1971-06,-0.85693359375,298.62305
1971-07,-0.559539794921875,298.8484
1971-08,-0.390594482421875,299.4873
1971-09,-0.41217041015625,299.7583
1971-10,-0.27142333984375,300.2556
1971-11,-0.124969482421875,300.43115
1971-12,0.089813232421875,300.00854
1972-01,-0.301177978515625,298.6797
1972-02,-0.56622314453125,298.16553
1972-03,-0.26544189453125,298.55103
1972-04,-0.31585693359375,298.76978
1972-05,-0.045989990234375,299.31738
1972-06,-0.14453125,299.33545
1972-07,-0.096893310546875,299.31104
1972-08,-0.307830810546875,299.57007
1972-09,-0.08428955078125,300.08618
1972-10,-0.06536865234375,300.46167
1972-11,0.108917236328125,300.66504
1972-12,-0.566925048828125,299.3518
1973-01,-0.264801025390625,298.71606
1973-02,-0.02764892578125,298.7041
1973-03,0.06976318359375,298.88623
1973-04,-0.19232177734375,298.8933
1973-05,-0.339447021484375,299.02393
1973-06,-0.1484375,299.33154
1973-07,-0.242645263671875,299.16528
1973-08,-0.066375732421875,299.81152
1973-09,-0.34283447265625,299.82764
1973-10,0.03155517578125,300.5586
1973-11,-0.122283935546875,300.43384
1973-12,-0.902618408203125,299.0161
1974-01,-0.679351806640625,298.3015
1974-02,-0.88824462890625,297.8435
1974-03,-0.98345947265625,297.833
1974-04,-0.74261474609375,298.34302
1974-05,-1.006683349609375,298.3567
1974-06,-0.730712890625,298.74927
1974-07,-0.465057373046875,298.94287
1974-08,-0.435272216796875,299.44263
1974-09,-0.62432861328125,299.54614
1974-10,-0.48919677734375,300.03784
1974-11,-0.347869873046875,300.20825
1974-12,-1.262969970703125,298.65576
1975-01,-0.414459228515625,298.5664
1975-02,-0.79229736328125,297.93945
1975-03,-0.42950439453125,298.38696
1975-04,-0.54803466796875,298.5376
1975-05,-0.740325927734375,298.62305
1975-06,-0.624267578125,298.8557
1975-07,-0.658172607421875,298.74976
1975-08,-0.539520263671875,299.33838
1975-09,-0.72198486328125,299.4485
1975-10,-0.59906005859375,299.92798
1975-11,-0.687225341796875,299.8689
1975-12,-0.572296142578125,299.34644
1976-01,-0.719879150390625,298.261
1976-02,-0.70220947265625,298.02954
1976-03,-0.44390869140625,298.37256
1976-04,-0.28704833984375,298.79858
1976-05,-0.451263427734375,298.9121
1976-06,-0.7333984375,298.74658
1976-07,-0.320281982421875,299.08765
1976-08,-0.443817138671875,299.43408
1976-09,-0.26397705078125,299.9065
1976-10,-0.04168701171875,300.48535
1976-11,-0.250457763671875,300.30566
1976-12,-0.296173095703125,299.62256
1977-01,-0.481353759765625,298.4995
1977-02,-0.69195556640625,298.0398
1977-03,-0.33233642578125,298.48413
1977-04,-0.38763427734375,298.698
1977-05,-0.523529052734375,298.83984
1977-06,-0.5009765625,298.979
1977-07,-0.305633544921875,299.1023
1977-08,-0.387908935546875,299.49
1977-09,-0.17340087890625,299.99707
1977-10,0.18853759765625,300.71558
1977-11,0.270050048828125,300.82617
1977-12,-0.242218017578125,299.6765
1978-01,-0.358551025390625,298.6223
1978-02,0.47723388671875,299.20898
1978-03,-0.31134033203125,298.50513
1978-04,-0.13909912109375,298.94653
1978-05,-0.057220458984375,299.30615
1978-06,-0.16943359375,299.31055
1978-07,-0.454559326171875,298.95337
1978-08,-0.368377685546875,299.50952
1978-09,-0.48248291015625,299.688
1978-10,-0.37762451171875,300.1494
1978-11,-0.170623779296875,300.3855
1978-12,-0.596954345703125,299.32178
1979-01,0.099456787109375,299.08032
1979-02,-0.12335205078125,298.6084
1979-03,0.05218505859375,298.86865
1979-04,0.18170166015625,299.26733
1979-05,-0.033538818359375,299.32983
1979-06,0.15380859375,299.6338
1979-07,-0.134735107421875,299.2732
1979-08,-0.103729248046875,299.77417
1979-09,-0.21661376953125,299.95386
1979-10,-0.19720458984375,300.32983
1979-11,0.115264892578125,300.6714
1979-12,-0.159454345703125,299.75928
1980-01,-0.214019775390625,298.76685
1980-02,-0.64361572265625,298.08813
1980-03,-0.22344970703125,298.59302
1980-04,0.00518798828125,299.09082
